id,length_of_listing_name,length_of_summary,length_of_description,name_tf_idf_sum,summary_tf_idf_sum,description_tf_idf_sum,summary_ARI,description_ARI,name_polarity,summary_polarity,description_polarity,name_subjectivity,summary_subjectivity,description_subjectivity,neighbourhood_cleansed,price,review_scores_rating,reviews_per_month
5672345,35,242,1000,0.705081932278409,0.469374660740274,0.855759073456798,0.136279381979927,0.157321045134832,0.2,0.209090909090909,0.235867074102368,0.3,0.463636363636364,0.521600458365164,Logan Square,$175.00,98,1.93
5672653,33,241,1000,0.610039135748364,0.483471409618139,0.884747258780036,0.0713649928762287,0.101712516611794,0.425,0.462962962962963,0.409803921568627,0.6875,0.542592592592593,0.543137254901961,West Town,$104.00,100,2.47
5672761,27,247,1000,0.759469494313475,0.496380579862143,0.883426601656645,0.235761280661076,0.128028406740413,0.166666666666667,0.15,0.211931818181818,0.65,0.175,0.432291666666667,Lincoln Park,$103.00,91,3.89
5672984,23,250,612,0.220571770214937,0.501306702325052,0.707072450343295,0.0861842518455471,0.1214292661517,0,0.308333333333333,0.272222222222222,0,0.425,0.427777777777778,Near North Side,$230.00,80,0.86
5678899,34,447,1000,0.559808852857425,0.603463391766785,0.803676247996728,0.076357586744586,0.0912067664358344,0.8,0.161616161616162,0.258712121212121,0.75,0.518055555555556,0.508333333333333,Loop,$89.00,96,2.86
5679314,32,159,159,0.74656428140997,0.362180874046347,0.30893341230771,0.0943790075829274,0.112641062169002,0.85,0.325,0.325,1,0.433333333333333,0.433333333333333,Loop,$280.00,100,0.88
5679853,25,243,243,0.552889516832035,0.465835582927718,0.42377424139906,0.148226337717393,0.170822426574541,-0.2,0.325,0.325,0.75,0.623611111111111,0.623611111111111,West Town,$212.00,90,2.16
5681201,35,231,798,0.757402770343067,0.442108709308308,0.552450977830286,0.0669191484458133,0.281309028405448,0,0.266666666666667,0.208928571428571,0,0.511111111111111,0.404761904761905,Lincoln Park,$130.00,95,1.79
5681790,29,238,425,0.613439533682825,0.448625030015075,0.488649855105696,0.232704584677616,0.119400233974221,0.7,0.393809523809524,0.400396825396826,1,0.637142857142857,0.66984126984127,Lincoln Park,$199.00,93,3.91
5685076,32,218,1000,0.609720144904542,0.374595892517064,0.844970675999949,0.0747813963615736,0.138374974721157,-0.025,0.25,0.243525592055004,0.125,0.3,0.403361344537815,Lake View,$350.00,98,2.69
5685106,30,249,1000,0.578598187894591,0.443854224082433,0.793637250055778,0.0694183491032384,0.0856219834751348,-0.2,0,0.05625,0.75,0.1875,0.425,Uptown,$75.00,89,1.32
5693107,34,240,1000,0.764348705489153,0.480132901091563,0.92138738600884,0.102258802877568,0.128962271630205,0,0.268112244897959,0.271898496240602,0.375,0.475510204081633,0.453007518796993,Logan Square,$105.00,97,1.28
5694319,32,246,1000,0.759711527459587,0.513155693387896,0.841117480033559,0.103891447352671,0.121710273798244,0.2,0.27,0.336666666666667,0.875,0.67,0.56,West Town,$119.00,98,2.91
5694566,35,251,1000,0.739344573128388,0.513833337862825,0.80316181178367,0.157939713057693,0.15316833055377,0.925,0.533928571428571,0.278095238095238,0.65,0.458928571428571,0.423095238095238,Lake View,$395.00,100,1.66
5697995,34,196,1000,0.580136127878604,0.42650560607654,0.89398487137546,0.102448400300482,0.155099542419804,0,0.666666666666667,0.318833333333333,0,0.766666666666667,0.544222222222222,Near North Side,$230.00,83,1.33
5702770,34,249,1000,0.614609734776789,0.478365972548084,0.84994477599758,0.0974998340750211,0.34462687264359,0,0.159272727272727,0.22836075036075,0,0.463,0.514380952380953,Lake View,$99.00,100,0.24
5702887,35,171,1000,0.584222018903983,0.368045629261761,0.802735294789017,0.0795267619755901,0.107818849990751,0,0.2625,0.327440476190476,0,0.525,0.569211309523809,West Town,$280.00,100,1.81
5704888,26,244,1000,0.453461934286357,0.461561517274711,0.849479558026846,0.14944050963493,0.115938077144113,0,0.488888888888889,0.352834467120181,0,0.694444444444444,0.567913832199547,Near North Side,$139.00,86,3.06
5712768,27,246,1000,0.620049761261929,0.458985410504702,0.81876005519507,0.0989328728468566,0.112625355679684,0.85,0.316666666666667,0.304545454545455,1,0.5,0.615909090909091,Logan Square,$339.00,90,4.22
5716493,30,248,1000,0.75509226092585,0.465664786593766,0.910700304710592,0.101270425029947,0.132996681155297,0.1,0.6125,0.284818181818182,0.2,0.75,0.539727272727273,Near North Side,$185.00,92,1.54
5718268,30,245,338,0.767184378901074,0.402441001328367,0.438970711833366,0.075373229983798,0.111147027842777,0.214285714285714,0.275238095238095,0.229365079365079,0.428571428571429,0.470476190476191,0.408730158730159,Logan Square,$110.00,100,0.66
5720963,28,233,233,0.601735196246227,0.457399830767714,0.414487175528423,0.131816390530664,0.153091684590443,0,0.125,0.125,0,0.308333333333333,0.308333333333333,Logan Square,$60.00,93,0.89
5724560,32,168,1000,0.618877661391053,0.370440459283528,0.868359962424265,0.0826670691763241,0.0877172377050221,0.4,0.272619047619048,0.309933925723399,0.9,0.483730158730159,0.478195488721805,Lake View,$638.00,100,0.43
5725141,29,227,699,0.605942193829431,0.460079138486568,0.651676261813005,0.0936487023857209,0.112377363465516,0.8,0.175,0.36875,0.75,0.425,0.50625,Lake View,$86.00,100,0.63
5728944,35,67,67,0.579758837101154,0.185026994848447,0.140363613666531,0.0591065251783284,0.0596029949099686,0,0.9,0.9,0,0.525,0.525,Lake View,$250.00,96,1.01
5737679,32,244,1000,0.415392749116602,0.486254110640863,0.864161633925994,0.116058846920843,0.114829603353742,0,0.24,0.168767507002801,0,0.641666666666667,0.481512605042017,Uptown,$179.00,92,4
5748730,33,232,487,0.618360875907835,0.410817313208625,0.470870610824795,0.117838895868557,0.0634245295773229,0,0.203333333333333,0.15,0,0.526666666666667,0.5125,Lincoln Park,$125.00,90,0.42
